NAME          SIZE TYPE MOUNTPOINT
loop0           4K loop /snap/bare/5
loop1        73.9M loop /snap/core22/2045
loop2          74M loop /snap/core22/2411
loop3        66.8M loop /snap/core24/1643
loop4       257.6M loop /snap/firefox/8664
loop5       252.4M loop /snap/firefox/8633
loop6       531.5M loop /snap/gnome-42-2204/263
loop7        11.1M loop /snap/firmware-updater/167
loop8        16.5M loop /snap/firmware-updater/226
loop9       614.5M loop /snap/gnome-46-2404/164
loop10        516M loop /snap/gnome-42-2204/202
loop11       91.7M loop /snap/gtk-common-themes/1535
loop12        402M loop /snap/mesa-2404/1839
loop13       10.8M loop /snap/snap-store/1270
loop14       15.7M loop /snap/snap-store/1367
loop15       50.1M loop /snap/snapd/27406
loop16       50.1M loop /snap/snapd/27591
loop17        576K loop /snap/snapd-desktop-integration/315
loop18        828K loop /snap/snapd-desktop-integration/391
loop19      210.8M loop /snap/thunderbird/1170
loop20      219.9M loop /snap/thunderbird/1201
nvme0n1     476.9G disk 
├─nvme0n1p1     1G part /boot/efi
└─nvme0n1p2 475.9G part /
